wallet_address,total_pnl_usd,winrate,total_trades,roi_percentage,avg_trade_size,total_volume,consistency_score,token_metrics,risk_metrics,last_updated
HATSWvwhCpBQvGSWcu7KCaFnHuNYtwx1Afds76oE7CZy,9034.183,76.666664,30,39.81139,373.126,53687.96,0,[],{},2024-11-16 22:40:20.000000
FjABLAfcGhQniqGUW7HnWw7ewAA8zcFpR4trJff1QkNy,65311.637,82.1656,157,74.52203,297.0728,115634.12,0,[],{},2024-11-16 22:43:38.000000
3EX6wDYWgpZYwH55i6Ew9G15SDGxX9Pi5CZ2iTBinsy5,35074.844,82.46753,154,28.366783,503.7601,131253.31,0,[],{},2024-11-16 22:47:47.000000
HYSVJNRQ8WV59VefCr28ugrPJt9NLk1deBSPmCfrDy7C,8160.614,66.10169,59,50.704826,93.0573,26247.59,0,[],{},2024-11-16 22:54:26.000000
3rzai4SPgJzTjegjonSv5UuhDwYXxZJtAbcjaquicgkx,8185.535,72.043015,93,33.632843,150.3677,39776.62,0,[],{},2024-11-16 22:57:50.000000
BtxVYW9SW6aUdRqZtu79X1sju2jwVv9ksk2deUe1yDP3,7175.7344,72.97298,37,65.50761,148.02513,29083.47,0,[],{},2024-11-16 23:09:12.000000
9aiN7jvMNfPC4niUwJ58zoJkYdVgvZmzWLv6jdXaojzv,810.17255,69.69697,33,42.13579,28.50197,4554.92,0,[],{},2024-11-16 23:10:09.000000
FpwpbB9NtJ6zsJvtpiBxPoC3QTxECcshztj3j1PUckH1,3722.5085,64.70588,34,98.36415,40.48309,8213.72,0,[],{},2024-11-16 23:10:54.000000
DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,158488.58,86.88119,404,54.622005,584.3937,219539.2,0,[],{},2024-11-16 23:15:44.000000
26yUR8bPxtYXXZEkfj2RkN4jk1CUDB3gARWMxdqwGu8M,5587.432,63.736263,91,27.60804,167.2823,40210.26,0,[],{},2024-11-16 23:15:54.000000
AaftCdcmhBWxnPq5xkay3Qpo8Z52KEkpfzpikeT6UjZV,295.08133,77.41936,31,42.202736,12.49129,1875.75,0,[],{},2024-11-16 23:16:54.000000
FEE6F6KspEg6ZqL1d6oJbnGvEQUPxVfPFY8MB14inS98,1145.4132,67.36842,95,40.567493,11.478,3309.59,0,[],{},2024-11-16 23:20:27.000000
B36gY52xxE5jTm77CcPiemtpqEnif6Lcw3Qh2TcjdZY1,18218.783,66.0,50,34.195137,319.9388,74928.23,0,[],{},2024-11-16 23:25:43.000000
ErH4KqJNYUejhiknMmha45MqzUGR5pyDzeSupYMA3ZYw,28980.723,62.162163,37,181.50874,200.64824,56646.62,0,[],{},2024-11-16 23:28:40.000000
FkVZQxEXnf5tW7UbxjxeYVnLYzE1Z9ZBpV5LrbCs18L,289.28198,61.29032,31,81.98939,5.293387,925.56,0,[],{},2024-11-16 23:28:48.000000
DQoULXHNPQQNTJrcpfias1fvT6ErxN3hKwaN8WHcDCob,7021.9204,83.870964,31,56.624786,200.01129,31823.23,0,[],{},2024-11-16 23:29:11.000000
7JMuwVntZ9c8mt8jt3LM5coMzX7nkhB7MqR6txxGNcYm,842.11,73.333336,30,88.00227,12.804334,2212.66,0,[],{},2024-11-16 23:29:39.000000
4HVqXh2Xd3yM8gsKLYhhobWLWoYdo5YDd9HkKkbSom1v,65.297485,63.333332,30,31.855658,3.4141667,474.97,0,[],{},2024-11-16 23:29:42.000000
84JKvfXwV3ACFMewiGyCUwCVpd3sTT7d7xkKMQj7k6Db,16569.035,79.268295,82,27.917723,210.5668,58177.29,0,[],{},2024-11-16 23:38:54.000000
D4kkv8CXNyy78xxw7fC9ou9ys3XeSegqpSZJEmGNzoeQ,5634.0586,67.94425,287,30.378454,50.5103,15324.6,0,[],{},2024-11-16 23:39:34.000000
8qr2M4Zs45w9YQj1JAJdTKrMmQGL6GFf6rqQHD4JZbN8,34025.65,62.162163,296,29.533642,311.2567,94804.29,0,[],{},2024-11-16 23:41:47.000000
33GtNAQzmdq4jELpHxXYqW3vDy7fux89zevVU4hP7BTX,1855.1389,67.58242,364,48.922913,7.5257,3525.22,0,[],{},2024-11-16 23:44:36.000000
GjW868Xayjk6zdHuEb42UPtbehMSNzNY4jx1Tcy1qhbG,12214.151,84.15842,101,36.524906,180.6575,47494.42,0,[],{},2024-11-16 23:44:57.000000
5gn3uxhsZ7TtLDZwxKXPJuUTB9dEMgnb3oFJ6rKDjoX4,68413.54,62.820515,234,53.299423,421.6848,156727.95,0,[],{},2024-11-16 23:45:38.000000
H8cenUSBYGSZXMWwfangoS8wFg6rbyvnXLKiR9GzZwjh,2244.809,60.0,105,28.588257,41.3672,11365.04,0,[],{},2024-11-16 23:46:36.000000
s1EdCLTtg1hjLELDCx7WCWaZh3vxsPtdFieXoxqLfWn,1976.0979,60.465115,43,41.99609,58.96907,12272.53,0,[],{},2024-11-16 23:50:40.000000
EaHPJzAyJnN8ZspV6i5FPb8KFTe1rGT5rbFWZD6oMNFY,23921.75,62.886597,194,111.914604,64.832,35913.83,0,[],{},2024-11-16 23:51:50.000000
GHBd3Y7q1CRHpHDCNUA797tA4sidmcLx99PhjWh9UoVE,30114.615,62.5,40,69.39865,574.304,123773.49,0,[],{},2024-11-16 23:53:49.000000
Etko8r9Rn7RU2HFzwDEPw6xo5RTJDGNqUiSmz94225zU,2488.697,63.636364,33,25.6125,147.22061,21921.83,0,[],{},2024-11-16 23:55:26.000000
47iuoGjjUUTPN4ZtRvSJD7dHrreUwtw8ENirWd2SkXYB,761.4637,66.15385,65,31.455364,11.0286,3043.36,0,[],{},2024-11-16 23:55:29.000000
29ZEC7EHQZ2Koym7Z47Ek84kFzhR5TkeTwcsGzhZR2yH,24243.348,70.588234,34,83.50975,402.65604,77626.73,0,[],{},2024-11-16 23:58:03.000000
GfXQesPe3Zuwg8JhAt6Cg8euJDTVx751enp9EQQmhzPH,47005.13,62.643677,174,54.522247,342.1734,117854.62,0,[],{},2024-11-16 23:58:15.000000
Aecs9UhSV6R1uxz52RszH3yobXGLu64px4PLMpCBqHU2,21485.496,76.54321,81,44.552258,293.0271,80794.63,0,[],{},2024-11-17 00:06:19.000000
2WccJWYXQ7Q8euZVuoSCKMtmf6snv7pQq678o4h3TUvR,4720.891,65.71429,35,54.33908,124.10928,22096.22,0,[],{},2024-11-17 00:06:24.000000
2FcdbPKuYXhQEzyHmeqRHFuiE8WsZwoQKsQAL9t8J8HS,3749.5024,68.085106,47,29.39571,135.69202,29259.62,0,[],{},2024-11-17 00:07:04.000000
Hd9HKLie1nKXx4zLQXg9WVYyK95kBFEC7bj1aGwRtBqF,90810.43,68.382355,136,64.62195,593.773,227516.92,0,[],{},2024-11-17 00:12:00.000000
AhuNyBv2fBdWhiF3eXR4LrjtShrLFpLgD4xHw7t3fE99,8706.736,68.83117,77,37.41173,169.6612,43421.52,0,[],{},2024-11-17 00:14:30.000000
GwDybiKoLkqtJbf7r52mmgbN9UpGT7yM9dH1QhxMfXSD,12326.573,61.22449,98,32.632042,201.7977,55108.65,0,[],{},2024-11-17 00:14:36.000000
F8goqiRx1rfddDMNtu3MymdtwdBgwaFd7R8wWJrhsoti,574.5072,72.72727,44,32.493393,25.822046,5283.1,0,[],{},2024-11-17 00:30:53.000000
B97LTE9bHX9tfQ4W5XHfn9AL9oWLjJjNVNfcK1Tmhq5d,18112.578,86.08696,115,388.13467,18.7531,20248.81,0,[],{},2024-11-17 00:32:19.000000
36yMFk57iJk3NXDNpiVfTJHLseLYxXXGFMjrrH7M5A7g,44333.918,65.21739,92,49.020275,578.8394,147416.06,0,[],{},2024-11-17 00:33:49.000000
iL9JCGTvxqJKkUcxZuWuVqDMqcCKksKRaHWCLLdygsH,13922.84,69.49152,59,63.94956,153.6344,44627.95,0,[],{},2024-11-17 00:34:45.000000
CcPydzZkPmbtMBTm4A3ErUnHzk39pcgFfBrjgycn7duv,12661.188,64.63415,82,27.924603,281.9272,69479.88,0,[],{},2024-11-17 00:49:12.000000
3z8XeeSWebiuRP32HY7JdNgNR6Wk7RB5r75ajZcnuGLm,14228.363,86.666664,30,157.45163,134.26016,28795.12,0,[],{},2024-11-17 00:50:25.000000
7XegKTXQgeDKcNmtVYvvaRq91yAYwqLUdMa5kyfMopk7,2108.782,69.620255,79,42.28502,97.5321,26106.14,0,[],{},2024-11-17 00:51:44.000000
7SNr4UnLJsoJyY3BjszJrCyzCYNzfe65T8FhPp1nPb1J,29889.137,60.65574,61,47.12729,512.0007,130088.93,0,[],{},2024-11-17 00:52:16.000000
BHWEtq8Z6J4janLf3RDscc97nqPUqZy7bfz9kwjdWsgY,39684.934,70.466324,193,36.48054,322.0013,104353.67,0,[],{},2024-11-17 00:53:05.000000
6aLWjGa8qJjY8htpPZfRZ6zgUHVPczS3KJEthgw82cc4,364.30414,63.157894,38,81.28025,5.895263,1260.36,0,[],{},2024-11-17 00:53:10.000000
Dmo8XsfT5VE96c9BRHx5bSigywvbF6vcH9FuVFU3SmCa,64176.137,67.60564,71,194.9698,427.7516,196628.61,0,[],{},2024-11-17 00:53:35.000000
ByP5nc2Xswkx9oPmVPbRRedcU8PFHY3cmhgGbtV67h3F,13814.839,79.38145,194,29.806496,125.0658,37216.95,0,[],{},2024-11-17 00:54:38.000000
FQiXmg3oHNV9aLDSvvCV2uaRTh9tjVV1PBqEytR7WYQg,9557.064,69.23077,39,43.341736,284.62524,54023.78,0,[],{},2024-11-17 00:56:04.000000
4JhRLDXKEDYZhSS885mS7V435QuPkjp15fDJhh3Ex4MZ,4417.8535,87.69231,65,36.322308,106.3375,25848.97,0,[],{},2024-11-17 00:56:25.000000
